# {"t_start": 1608789182.3069544} 
r,l,t
36.829365,800,7733.229058
34.745605,800,7740.586948
24.261528,800,7743.612968
35.477432,800,7756.1281
22.669632,544,7777.836642
26.309992,800,7778.902798
34.977993,800,7801.954382
24.068,800,7811.912028
32.701206,800,7819.314222
21.382534,800,7826.72262
28.546087,800,7829.832376
26.081032,800,7842.244915
28.89984,800,7863.722613
15.709059,510,7864.517791
23.310345,800,7865.289376
33.514538,800,7897.345612
22.617935,800,7904.703305
28.156282,800,7911.962707
30.613674,800,7915.077144
32.013683,729,7924.352723
22.279486,800,7928.199854
34.097195,800,7951.138007
24.143595,800,7952.148765
12.189554,434,7972.115258
18.988125,667,7974.878619
25.442453,581,7975.486794
14.61908,354,7981.660349
36.140976,800,8000.741838
35.242336,800,8012.233749
14.719684,384,8013.221962
36.552235,800,8016.645987
33.594334,800,8040.111321
29.810993,800,8060.11545
25.432558,800,8062.842048
24.998734,800,8063.436269
20.843287,511,8065.375911
11.881894,298,8087.238255
15.668032,386,8092.575587
35.138695,800,8100.107749
23.292452,800,8101.024742
33.14692,800,8104.51192
26.264427,800,8128.154478
11.792207,349,8138.284377
31.25034,800,8150.863187
33.75109,800,8152.761402
16.156143,417,8172.199631
34.408443,800,8180.284401
26.217737,800,8188.184862
36.26149,800,8189.114588
29.169907,800,8192.617875
36.274235,800,8216.294062
28.468348,800,8238.640067
20.39613,800,8240.501454
35.86923,800,8259.989747
31.020422,800,8267.989967
24.4425,800,8275.775971
24.248625,800,8276.718044
27.29831,800,8280.150172
36.593445,800,8303.523191
13.430545,320,8316.085996
